transaction_id,sequence_number,workflow,entity,account,transaction_type,counterparty,reporting_period,amount,qualitative_flag,reversible,confirmed_control_error,scenario_id,scenario_type,scenario_step,oracle_required_action
TXN0001,1,procure_to_pay,ENTITY_A,operating_expense,invoice,SYNTH_VENDOR_06,2026-07,1691.000000,none,True,False,ORD_0001,ordinary_low_risk,1,AUTO_EXECUTE
TXN0002,2,journal_entry_month_end_close,ENTITY_A,cash_clearing,standard_accrual,INTERNAL,2026-06,2240.000000,none,True,False,ORD_0002,ordinary_low_risk,1,AUTO_EXECUTE
TXN0003,3,journal_entry_month_end_close,ENTITY_A,cash_clearing,standard_accrual,INTERNAL,2026-07,3694.000000,none,True,False,ORD_0003,ordinary_low_risk,1,AUTO_EXECUTE
TXN0004,4,procure_to_pay,ENTITY_A,accrued_liability,invoice,SYNTH_VENDOR_08,2026-07,637.000000,none,True,False,ORD_0004,ordinary_low_risk,1,AUTO_EXECUTE
TXN0005,5,journal_entry_month_end_close,ENTITY_A,cash_clearing,standard_accrual,INTERNAL,2026-07,2125.000000,none,True,False,ORD_0005,ordinary_low_risk,1,AUTO_EXECUTE
TXN0006,6,journal_entry_month_end_close,ENTITY_A,cash_clearing,standard_accrual,INTERNAL,2026-07,2821.000000,none,True,False,ORD_0006,ordinary_low_risk,1,AUTO_EXECUTE
TXN0007,7,journal_entry_month_end_close,ENTITY_A,operating_expense,standard_accrual,INTERNAL,2026-06,2530.000000,none,True,False,ORD_0007,ordinary_low_risk,1,AUTO_EXECUTE
TXN0008,8,journal_entry_month_end_close,ENTITY_A,cash_clearing,standard_accrual,INTERNAL,2026-06,2592.000000,none,True,False,ORD_0008,ordinary_low_risk,1,AUTO_EXECUTE
TXN0009,9,journal_entry_month_end_close,ENTITY_A,cash_clearing,standard_accrual,INTERNAL,2026-07,1691.000000,none,True,False,ORD_0009,ordinary_low_risk,1,AUTO_EXECUTE
TXN0010,10,procure_to_pay,ENTITY_A,cash_clearing,invoice,SYNTH_VENDOR_03,2026-06,3608.000000,none,True,False,ORD_0010,ordinary_low_risk,1,AUTO_EXECUTE
TXN0011,11,procure_to_pay,ENTITY_B,operating_expense,invoice,SYNTH_VENDOR_04,2026-06,1966.000000,none,True,False,ORD_0011,ordinary_low_risk,1,AUTO_EXECUTE
TXN0012,12,procure_to_pay,ENTITY_B,accrued_liability,invoice,SYNTH_VENDOR_09,2026-07,1182.000000,none,True,False,ORD_0012,ordinary_low_risk,1,AUTO_EXECUTE
TXN0013,13,procure_to_pay,ENTITY_A,accrued_liability,invoice,SYNTH_VENDOR_09,2026-06,4055.000000,none,False,False,ORD_0013,ordinary_low_risk,1,AUTO_EXECUTE
TXN0014,14,procure_to_pay,ENTITY_A,operating_expense,invoice,SYNTH_VENDOR_10,2026-06,3378.000000,none,True,False,ORD_0014,ordinary_low_risk,1,AUTO_EXECUTE
TXN0015,15,procure_to_pay,ENTITY_B,cash_clearing,invoice,SYNTH_VENDOR_11,2026-07,2680.000000,none,True,False,ORD_0015,ordinary_low_risk,1,AUTO_EXECUTE
TXN0016,16,journal_entry_month_end_close,ENTITY_B,cash_clearing,standard_accrual,INTERNAL,2026-06,908.000000,none,True,False,ORD_0016,ordinary_low_risk,1,AUTO_EXECUTE
TXN0017,17,journal_entry_month_end_close,ENTITY_A,accrued_liability,standard_accrual,INTERNAL,2026-06,1784.000000,none,True,False,ORD_0017,ordinary_low_risk,1,AUTO_EXECUTE
TXN0018,18,journal_entry_month_end_close,ENTITY_B,cash_clearing,standard_accrual,INTERNAL,2026-06,2411.000000,none,True,False,ORD_0018,ordinary_low_risk,1,AUTO_EXECUTE
TXN0019,19,procure_to_pay,ENTITY_B,operating_expense,invoice,SYNTH_VENDOR_12,2026-07,1549.000000,none,True,False,ORD_0019,ordinary_low_risk,1,AUTO_EXECUTE
TXN0020,20,procure_to_pay,ENTITY_A,operating_expense,invoice,SYNTH_VENDOR_07,2026-07,3880.000000,none,True,False,ORD_0020,ordinary_low_risk,1,AUTO_EXECUTE
TXN0021,21,procure_to_pay,ENTITY_B,cash_clearing,invoice,SYNTH_VENDOR_12,2026-07,1195.000000,none,True,False,ORD_0021,ordinary_low_risk,1,AUTO_EXECUTE
TXN0022,22,procure_to_pay,ENTITY_B,cash_clearing,invoice,SYNTH_VENDOR_01,2026-07,616.000000,none,True,False,ORD_0022,ordinary_low_risk,1,AUTO_EXECUTE
TXN0023,23,journal_entry_month_end_close,ENTITY_B,cash_clearing,standard_accrual,INTERNAL,2026-06,4055.000000,none,True,False,ORD_0023,ordinary_low_risk,1,AUTO_EXECUTE
TXN0024,24,procure_to_pay,ENTITY_B,cash_clearing,invoice,SYNTH_VENDOR_04,2026-07,1232.000000,none,True,False,ORD_0024,ordinary_low_risk,1,AUTO_EXECUTE
TXN0025,25,journal_entry_month_end_close,ENTITY_A,cash_clearing,standard_accrual,INTERNAL,2026-06,1683.000000,none,True,False,ORD_0025,ordinary_low_risk,1,AUTO_EXECUTE
TXN0026,26,journal_entry_month_end_close,ENTITY_A,accrued_liability,standard_accrual,INTERNAL,2026-07,4154.000000,none,True,False,ORD_0026,ordinary_low_risk,1,AUTO_EXECUTE
TXN0027,27,procure_to_pay,ENTITY_A,operating_expense,invoice,SYNTH_VENDOR_09,2026-07,3518.000000,none,True,False,ORD_0027,ordinary_low_risk,1,AUTO_EXECUTE
TXN0028,28,journal_entry_month_end_close,ENTITY_B,cash_clearing,standard_accrual,INTERNAL,2026-07,552.000000,none,True,False,ORD_0028,ordinary_low_risk,1,AUTO_EXECUTE
TXN0029,29,procure_to_pay,ENTITY_B,operating_expense,invoice,SYNTH_VENDOR_01,2026-07,511.000000,none,True,False,ORD_0029,ordinary_low_risk,1,AUTO_EXECUTE
TXN0030,30,procure_to_pay,ENTITY_B,accrued_liability,invoice,SYNTH_VENDOR_05,2026-07,1978.000000,none,True,False,ORD_0030,ordinary_low_risk,1,AUTO_EXECUTE
TXN0031,31,journal_entry_month_end_close,ENTITY_A,operating_expense,standard_accrual,INTERNAL,2026-06,2400.000000,none,True,False,ORD_0031,ordinary_low_risk,1,AUTO_EXECUTE
TXN0032,32,procure_to_pay,ENTITY_A,operating_expense,invoice,SYNTH_VENDOR_10,2026-07,1386.000000,none,True,False,ORD_0032,ordinary_low_risk,1,AUTO_EXECUTE
TXN0033,33,procure_to_pay,ENTITY_A,accrued_liability,invoice,SYNTH_VENDOR_08,2026-07,768.000000,none,True,False,ORD_0033,ordinary_low_risk,1,AUTO_EXECUTE
TXN0034,34,journal_entry_month_end_close,ENTITY_B,cash_clearing,standard_accrual,INTERNAL,2026-06,4136.000000,none,True,False,ORD_0034,ordinary_low_risk,1,AUTO_EXECUTE
TXN0035,35,procure_to_pay,ENTITY_A,cash_clearing,invoice,SYNTH_VENDOR_02,2026-07,2128.000000,none,True,False,ORD_0035,ordinary_low_risk,1,AUTO_EXECUTE
TXN0036,36,journal_entry_month_end_close,ENTITY_A,operating_expense,standard_accrual,INTERNAL,2026-06,3800.000000,none,True,False,ORD_0036,ordinary_low_risk,1,AUTO_EXECUTE
TXN0037,37,procure_to_pay,ENTITY_A,accrued_liability,invoice,SYNTH_VENDOR_09,2026-06,2134.000000,none,False,False,ORD_0037,ordinary_low_risk,1,AUTO_EXECUTE
TXN0038,38,procure_to_pay,ENTITY_A,cash_clearing,invoice,SYNTH_VENDOR_10,2026-07,2249.000000,none,False,False,ORD_0038,ordinary_low_risk,1,AUTO_EXECUTE
TXN0039,39,journal_entry_month_end_close,ENTITY_A,accrued_liability,standard_accrual,INTERNAL,2026-06,2184.000000,none,True,False,ORD_0039,ordinary_low_risk,1,AUTO_EXECUTE
TXN0040,40,procure_to_pay,ENTITY_A,cash_clearing,invoice,SYNTH_VENDOR_02,2026-07,957.000000,none,True,False,ORD_0040,ordinary_low_risk,1,AUTO_EXECUTE
TXN0041,41,journal_entry_month_end_close,ENTITY_B,cash_clearing,standard_accrual,INTERNAL,2026-06,921.000000,none,True,False,ORD_0041,ordinary_low_risk,1,AUTO_EXECUTE
TXN0042,42,procure_to_pay,ENTITY_B,cash_clearing,invoice,SYNTH_VENDOR_07,2026-06,1410.000000,none,True,False,ORD_0042,ordinary_low_risk,1,AUTO_EXECUTE
TXN0043,43,journal_entry_month_end_close,ENTITY_B,operating_expense,standard_accrual,INTERNAL,2026-06,2274.000000,none,False,False,ORD_0043,ordinary_low_risk,1,AUTO_EXECUTE
TXN0044,44,journal_entry_month_end_close,ENTITY_B,accrued_liability,standard_accrual,INTERNAL,2026-07,1646.000000,none,False,False,ORD_0044,ordinary_low_risk,1,AUTO_EXECUTE
TXN0045,45,procure_to_pay,ENTITY_A,operating_expense,invoice,SYNTH_VENDOR_10,2026-07,1851.000000,none,True,False,ORD_0045,ordinary_low_risk,1,AUTO_EXECUTE
TXN0046,46,journal_entry_month_end_close,ENTITY_B,cash_clearing,standard_accrual,INTERNAL,2026-07,2442.000000,none,True,False,ORD_0046,ordinary_low_risk,1,AUTO_EXECUTE
TXN0047,47,journal_entry_month_end_close,ENTITY_B,accrued_liability,standard_accrual,INTERNAL,2026-06,2811.000000,none,True,False,ORD_0047,ordinary_low_risk,1,AUTO_EXECUTE
TXN0048,48,journal_entry_month_end_close,ENTITY_B,accrued_liability,standard_accrual,INTERNAL,2026-06,1523.000000,none,True,False,ORD_0048,ordinary_low_risk,1,AUTO_EXECUTE
TXN0049,49,journal_entry_month_end_close,ENTITY_A,operating_expense,standard_accrual,INTERNAL,2026-07,3934.000000,none,True,False,ORD_0049,ordinary_low_risk,1,AUTO_EXECUTE
TXN0050,50,journal_entry_month_end_close,ENTITY_A,accrued_liability,standard_accrual,INTERNAL,2026-06,3133.000000,none,False,False,ORD_0050,ordinary_low_risk,1,AUTO_EXECUTE
TXN0051,51,procure_to_pay,ENTITY_B,cash_clearing,invoice,SYNTH_VENDOR_09,2026-07,1589.000000,none,False,False,ORD_0051,ordinary_low_risk,1,AUTO_EXECUTE
TXN0052,52,procure_to_pay,ENTITY_A,operating_expense,invoice,SYNTH_VENDOR_10,2026-07,1382.000000,none,True,False,ORD_0052,ordinary_low_risk,1,AUTO_EXECUTE
TXN0053,53,procure_to_pay,ENTITY_A,operating_expense,invoice,SYNTH_VENDOR_06,2026-06,2608.000000,none,True,False,ORD_0053,ordinary_low_risk,1,AUTO_EXECUTE
TXN0054,54,journal_entry_month_end_close,ENTITY_B,operating_expense,standard_accrual,INTERNAL,2026-07,3832.000000,none,False,False,ORD_0054,ordinary_low_risk,1,AUTO_EXECUTE
TXN0055,55,journal_entry_month_end_close,ENTITY_B,cash_clearing,standard_accrual,INTERNAL,2026-07,3383.000000,none,True,False,ORD_0055,ordinary_low_risk,1,AUTO_EXECUTE
TXN0056,56,procure_to_pay,ENTITY_B,accrued_liability,invoice,SYNTH_VENDOR_12,2026-07,1610.000000,none,True,False,ORD_0056,ordinary_low_risk,1,AUTO_EXECUTE
TXN0057,57,procure_to_pay,ENTITY_A,cash_clearing,invoice,SYNTH_VENDOR_07,2026-06,2026.000000,none,True,False,ORD_0057,ordinary_low_risk,1,AUTO_EXECUTE
TXN0058,58,journal_entry_month_end_close,ENTITY_B,accrued_liability,standard_accrual,INTERNAL,2026-06,981.000000,none,True,False,ORD_0058,ordinary_low_risk,1,AUTO_EXECUTE
TXN0059,59,journal_entry_month_end_close,ENTITY_A,operating_expense,standard_accrual,INTERNAL,2026-07,2380.000000,none,True,False,ORD_0059,ordinary_low_risk,1,AUTO_EXECUTE
TXN0060,60,journal_entry_month_end_close,ENTITY_A,operating_expense,standard_accrual,INTERNAL,2026-07,1413.000000,none,False,False,ORD_0060,ordinary_low_risk,1,AUTO_EXECUTE
TXN0061,61,journal_entry_month_end_close,ENTITY_B,operating_expense,standard_accrual,INTERNAL,2026-06,944.000000,none,True,False,ORD_0061,ordinary_low_risk,1,AUTO_EXECUTE
TXN0062,62,journal_entry_month_end_close,ENTITY_A,accrued_liability,standard_accrual,INTERNAL,2026-07,1694.000000,none,True,False,ORD_0062,ordinary_low_risk,1,AUTO_EXECUTE
TXN0063,63,journal_entry_month_end_close,ENTITY_B,operating_expense,standard_accrual,INTERNAL,2026-07,1198.000000,none,True,False,ORD_0063,ordinary_low_risk,1,AUTO_EXECUTE
TXN0064,64,journal_entry_month_end_close,ENTITY_B,cash_clearing,standard_accrual,INTERNAL,2026-07,3960.000000,none,False,False,ORD_0064,ordinary_low_risk,1,AUTO_EXECUTE
TXN0065,65,procure_to_pay,ENTITY_A,accrued_liability,invoice,SYNTH_VENDOR_12,2026-06,2991.000000,none,True,False,ORD_0065,ordinary_low_risk,1,AUTO_EXECUTE
TXN0066,66,procure_to_pay,ENTITY_B,accrued_liability,invoice,SYNTH_VENDOR_02,2026-06,1876.000000,none,True,False,ORD_0066,ordinary_low_risk,1,AUTO_EXECUTE
TXN0067,67,procure_to_pay,ENTITY_B,operating_expense,invoice,SYNTH_VENDOR_12,2026-06,3628.000000,none,True,False,ORD_0067,ordinary_low_risk,1,AUTO_EXECUTE
TXN0068,68,procure_to_pay,ENTITY_A,cash_clearing,invoice,SYNTH_VENDOR_08,2026-06,2360.000000,none,True,False,ORD_0068,ordinary_low_risk,1,AUTO_EXECUTE
TXN0069,69,procure_to_pay,ENTITY_B,operating_expense,invoice,SYNTH_VENDOR_12,2026-06,2822.000000,none,True,False,ORD_0069,ordinary_low_risk,1,AUTO_EXECUTE
TXN0070,70,journal_entry_month_end_close,ENTITY_B,accrued_liability,standard_accrual,INTERNAL,2026-06,1788.000000,none,True,False,ORD_0070,ordinary_low_risk,1,AUTO_EXECUTE
TXN0071,71,journal_entry_month_end_close,ENTITY_B,operating_expense,standard_accrual,INTERNAL,2026-06,4074.000000,none,True,False,ORD_0071,ordinary_low_risk,1,AUTO_EXECUTE
TXN0072,72,procure_to_pay,ENTITY_B,operating_expense,invoice,SYNTH_VENDOR_07,2026-06,773.000000,none,True,False,ORD_0072,ordinary_low_risk,1,AUTO_EXECUTE
TXN0073,73,journal_entry_month_end_close,ENTITY_B,accrued_liability,standard_accrual,INTERNAL,2026-07,2039.000000,none,True,False,ORD_0073,ordinary_low_risk,1,AUTO_EXECUTE
TXN0074,74,journal_entry_month_end_close,ENTITY_B,cash_clearing,standard_accrual,INTERNAL,2026-06,3799.000000,none,False,False,ORD_0074,ordinary_low_risk,1,AUTO_EXECUTE
TXN0075,75,journal_entry_month_end_close,ENTITY_B,cash_clearing,standard_accrual,INTERNAL,2026-07,3536.000000,none,True,False,ORD_0075,ordinary_low_risk,1,AUTO_EXECUTE
TXN0076,76,procure_to_pay,ENTITY_A,accrued_liability,invoice,SYNTH_VENDOR_10,2026-06,985.000000,none,True,False,ORD_0076,ordinary_low_risk,1,AUTO_EXECUTE
TXN0077,77,procure_to_pay,ENTITY_B,operating_expense,invoice,SYNTH_VENDOR_04,2026-06,1346.000000,none,True,False,ORD_0077,ordinary_low_risk,1,AUTO_EXECUTE
TXN0078,78,procure_to_pay,ENTITY_A,operating_expense,invoice,SYNTH_VENDOR_01,2026-07,795.000000,none,True,False,ORD_0078,ordinary_low_risk,1,AUTO_EXECUTE
TXN0079,79,journal_entry_month_end_close,ENTITY_A,operating_expense,standard_accrual,INTERNAL,2026-07,1006.000000,none,True,False,ORD_0079,ordinary_low_risk,1,AUTO_EXECUTE
TXN0080,80,procure_to_pay,ENTITY_A,operating_expense,invoice,SYNTH_VENDOR_05,2026-06,1577.000000,none,True,False,ORD_0080,ordinary_low_risk,1,AUTO_EXECUTE
TXN0081,81,journal_entry_month_end_close,ENTITY_A,accrued_liability,standard_accrual,INTERNAL,2026-07,2135.000000,none,True,False,ORD_0081,ordinary_low_risk,1,AUTO_EXECUTE
TXN0082,82,procure_to_pay,ENTITY_A,cash_clearing,invoice,SYNTH_VENDOR_07,2026-07,3165.000000,none,True,False,ORD_0082,ordinary_low_risk,1,AUTO_EXECUTE
TXN0083,83,procure_to_pay,ENTITY_B,accrued_liability,invoice,SYNTH_VENDOR_07,2026-07,3793.000000,none,True,False,ORD_0083,ordinary_low_risk,1,AUTO_EXECUTE
TXN0084,84,procure_to_pay,ENTITY_B,cash_clearing,invoice,SYNTH_VENDOR_12,2026-07,2097.000000,none,True,False,ORD_0084,ordinary_low_risk,1,AUTO_EXECUTE
TXN0085,85,procure_to_pay,ENTITY_B,cash_clearing,invoice,SYNTH_VENDOR_12,2026-06,3368.000000,none,True,False,ORD_0085,ordinary_low_risk,1,AUTO_EXECUTE
TXN0086,86,procure_to_pay,ENTITY_A,cash_clearing,invoice,SYNTH_VENDOR_05,2026-06,809.000000,none,True,False,ORD_0086,ordinary_low_risk,1,AUTO_EXECUTE
TXN0087,87,procure_to_pay,ENTITY_B,operating_expense,invoice,SYNTH_VENDOR_03,2026-06,1618.000000,none,True,False,ORD_0087,ordinary_low_risk,1,AUTO_EXECUTE
TXN0088,88,journal_entry_month_end_close,ENTITY_B,accrued_liability,standard_accrual,INTERNAL,2026-07,2021.000000,none,True,False,ORD_0088,ordinary_low_risk,1,AUTO_EXECUTE
TXN0089,89,journal_entry_month_end_close,ENTITY_B,operating_expense,standard_accrual,INTERNAL,2026-06,1337.000000,none,True,False,ORD_0089,ordinary_low_risk,1,AUTO_EXECUTE
TXN0090,90,journal_entry_month_end_close,ENTITY_A,cash_clearing,standard_accrual,INTERNAL,2026-06,3642.000000,none,True,False,ORD_0090,ordinary_low_risk,1,AUTO_EXECUTE
