policy,oracle_action,policy_action,count
fixed,AUTO_EXECUTE,AUTO_EXECUTE,186
fixed,AUTO_EXECUTE,INDEPENDENT_REVIEW,0
fixed,AUTO_EXECUTE,BLOCK,0
fixed,INDEPENDENT_REVIEW,AUTO_EXECUTE,54
fixed,INDEPENDENT_REVIEW,INDEPENDENT_REVIEW,21
fixed,INDEPENDENT_REVIEW,BLOCK,0
fixed,BLOCK,AUTO_EXECUTE,0
fixed,BLOCK,INDEPENDENT_REVIEW,0
fixed,BLOCK,BLOCK,9
uniform_cap,AUTO_EXECUTE,AUTO_EXECUTE,181
uniform_cap,AUTO_EXECUTE,INDEPENDENT_REVIEW,5
uniform_cap,AUTO_EXECUTE,BLOCK,0
uniform_cap,INDEPENDENT_REVIEW,AUTO_EXECUTE,25
uniform_cap,INDEPENDENT_REVIEW,INDEPENDENT_REVIEW,50
uniform_cap,INDEPENDENT_REVIEW,BLOCK,0
uniform_cap,BLOCK,AUTO_EXECUTE,0
uniform_cap,BLOCK,INDEPENDENT_REVIEW,0
uniform_cap,BLOCK,BLOCK,9
mcab_no_tightening,AUTO_EXECUTE,AUTO_EXECUTE,186
mcab_no_tightening,AUTO_EXECUTE,INDEPENDENT_REVIEW,0
mcab_no_tightening,AUTO_EXECUTE,BLOCK,0
mcab_no_tightening,INDEPENDENT_REVIEW,AUTO_EXECUTE,22
mcab_no_tightening,INDEPENDENT_REVIEW,INDEPENDENT_REVIEW,53
mcab_no_tightening,INDEPENDENT_REVIEW,BLOCK,0
mcab_no_tightening,BLOCK,AUTO_EXECUTE,0
mcab_no_tightening,BLOCK,INDEPENDENT_REVIEW,0
mcab_no_tightening,BLOCK,BLOCK,9
mcab_full,AUTO_EXECUTE,AUTO_EXECUTE,186
mcab_full,AUTO_EXECUTE,INDEPENDENT_REVIEW,0
mcab_full,AUTO_EXECUTE,BLOCK,0
mcab_full,INDEPENDENT_REVIEW,AUTO_EXECUTE,10
mcab_full,INDEPENDENT_REVIEW,INDEPENDENT_REVIEW,65
mcab_full,INDEPENDENT_REVIEW,BLOCK,0
mcab_full,BLOCK,AUTO_EXECUTE,0
mcab_full,BLOCK,INDEPENDENT_REVIEW,0
mcab_full,BLOCK,BLOCK,9
