configuration,pre_error_review_from_occurrence,post_error_review_from_occurrence,is_base_configuration,policy,transactions_n,oracle_escalation_numerator,oracle_escalation_denominator,oracle_escalation_pct,consequential_failure_numerator,consequential_failure_denominator,overall_failure_incidence_pct,conditional_miss_numerator,conditional_miss_denominator,conditional_miss_rate_pct,false_escalation_numerator,false_escalation_denominator,false_escalation_rate_pct,absolute_dollar_exposure,anchor_normalised_exposure,entity_small_anchor_ratio,entity_reference_anchor_ratio,entity_large_anchor_ratio,maximum_entity_anchor_ratio,independent_review_n,block_n,combined_intervention_n,combined_intervention_denominator,combined_intervention_pct
4/3,4,3,False,fixed,270,96,270,35.555556,66,270,24.444444,66,96,68.750000,0,174,0.000000,605675.000000,1.0383,0.3461,0.3461,0.3461,0.3461,21,9,30,270,11.111111
4/3,4,3,False,uniform_cap,270,96,270,35.555556,33,270,12.222222,33,96,34.375000,1,174,0.574713,174025.000000,0.5087,0.3461,0.1502,0.0124,0.3461,55,9,64,270,23.703704
4/3,4,3,False,mcab_no_tightening,270,96,270,35.555556,34,270,12.592593,34,96,35.416667,0,174,0.000000,530350.000000,0.7181,0.1502,0.1502,0.4177,0.4177,53,9,62,270,22.962963
4/3,4,3,False,mcab_full,270,96,270,35.555556,22,270,8.148148,22,96,22.916667,0,174,0.000000,437250.000000,0.5585,0.0970,0.0970,0.3645,0.3645,65,9,74,270,27.407407
6/3,6,3,True,fixed,270,84,270,31.111111,54,270,20.000000,54,84,64.285714,0,186,0.000000,485975.000000,0.8331,0.2777,0.2777,0.2777,0.2777,21,9,30,270,11.111111
6/3,6,3,True,uniform_cap,270,84,270,31.111111,25,270,9.259259,25,84,29.761905,5,186,2.688172,122725.000000,0.3719,0.2777,0.0818,0.0124,0.2777,55,9,64,270,23.703704
6/3,6,3,True,mcab_no_tightening,270,84,270,31.111111,22,270,8.148148,22,84,26.190476,0,186,0.000000,410650.000000,0.5129,0.0818,0.0818,0.3493,0.3493,53,9,62,270,22.962963
6/3,6,3,True,mcab_full,270,84,270,31.111111,10,270,3.703704,10,84,11.904762,0,186,0.000000,317550.000000,0.3533,0.0286,0.0286,0.2961,0.2961,65,9,74,270,27.407407
8/3,8,3,False,fixed,270,72,270,26.666667,42,270,15.555556,42,72,58.333333,0,198,0.000000,365575.000000,0.6267,0.2089,0.2089,0.2089,0.2089,21,9,30,270,11.111111
8/3,8,3,False,uniform_cap,270,72,270,26.666667,20,270,7.407407,20,72,27.777778,12,198,6.060606,97425.000000,0.2869,0.2089,0.0656,0.0124,0.2089,55,9,64,270,23.703704
8/3,8,3,False,mcab_no_tightening,270,72,270,26.666667,19,270,7.037037,19,72,26.388889,9,198,4.545455,382300.000000,0.4643,0.0656,0.0656,0.3331,0.3331,53,9,62,270,22.962963
8/3,8,3,False,mcab_full,270,72,270,26.666667,7,270,2.592593,7,72,9.722222,9,198,4.545455,289200.000000,0.3047,0.0124,0.0124,0.2799,0.2799,65,9,74,270,27.407407
6/2,6,2,False,fixed,270,87,270,32.222222,57,270,21.111111,57,87,65.517241,0,183,0.000000,510475.000000,0.8751,0.2917,0.2917,0.2917,0.2917,21,9,30,270,11.111111
6/2,6,2,False,uniform_cap,270,87,270,32.222222,28,270,10.370370,28,87,32.183908,5,183,2.732240,147225.000000,0.4139,0.2917,0.0958,0.0264,0.2917,55,9,64,270,23.703704
6/2,6,2,False,mcab_no_tightening,270,87,270,32.222222,25,270,9.259259,25,87,28.735632,0,183,0.000000,435150.000000,0.5549,0.0958,0.0958,0.3633,0.3633,53,9,62,270,22.962963
6/2,6,2,False,mcab_full,270,87,270,32.222222,13,270,4.814815,13,87,14.942529,0,183,0.000000,342050.000000,0.3953,0.0426,0.0426,0.3101,0.3101,65,9,74,270,27.407407
6/4,6,4,False,fixed,270,81,270,30.000000,51,270,18.888889,51,81,62.962963,0,189,0.000000,464275.000000,0.7959,0.2653,0.2653,0.2653,0.2653,21,9,30,270,11.111111
6/4,6,4,False,uniform_cap,270,81,270,30.000000,22,270,8.148148,22,81,27.160494,5,189,2.645503,101025.000000,0.3347,0.2653,0.0694,0.0000,0.2653,55,9,64,270,23.703704
6/4,6,4,False,mcab_no_tightening,270,81,270,30.000000,19,270,7.037037,19,81,23.456790,0,189,0.000000,388950.000000,0.4757,0.0694,0.0694,0.3369,0.3369,53,9,62,270,22.962963
6/4,6,4,False,mcab_full,270,81,270,30.000000,7,270,2.592593,7,81,8.641975,0,189,0.000000,295850.000000,0.3161,0.0162,0.0162,0.2837,0.2837,65,9,74,270,27.407407
