transaction_id,sequence_number,workflow,entity,account,transaction_type,counterparty,reporting_period,amount,qualitative_flag,reversible,confirmed_control_error,scenario_id,scenario_type,scenario_step,oracle_required_action,fixed_transaction_id,fixed_action,fixed_route,fixed_risk_cell,fixed_initial_budget,fixed_effective_budget,fixed_projected_utilisation,fixed_utilisation_before,fixed_utilisation_after,fixed_tightening_active_before,fixed_tightening_triggered_after,uniform_cap_transaction_id,uniform_cap_action,uniform_cap_route,uniform_cap_risk_cell,uniform_cap_initial_budget,uniform_cap_effective_budget,uniform_cap_projected_utilisation,uniform_cap_utilisation_before,uniform_cap_utilisation_after,uniform_cap_tightening_active_before,uniform_cap_tightening_triggered_after,mcab_no_tightening_transaction_id,mcab_no_tightening_action,mcab_no_tightening_route,mcab_no_tightening_risk_cell,mcab_no_tightening_initial_budget,mcab_no_tightening_effective_budget,mcab_no_tightening_projected_utilisation,mcab_no_tightening_utilisation_before,mcab_no_tightening_utilisation_after,mcab_no_tightening_tightening_active_before,mcab_no_tightening_tightening_triggered_after,mcab_full_transaction_id,mcab_full_action,mcab_full_route,mcab_full_risk_cell,mcab_full_initial_budget,mcab_full_effective_budget,mcab_full_projected_utilisation,mcab_full_utilisation_before,mcab_full_utilisation_after,mcab_full_tightening_active_before,mcab_full_tightening_triggered_after
TXN0001,1,procure_to_pay,ENTITY_SMALL,ordinary_entity_small_001,invoice,SYNTH_ORDINARY_ENTITY_SMALL_001,2026-06,573.500000,none,True,False,ORD_ENTITY_SMALL_001,ordinary_low_risk,1,AUTO_EXECUTE,TXN0001,AUTO_EXECUTE,within_fixed_threshold,,50000.000000,50000.000000,573.500000,,,False,False,TXN0001,AUTO_EXECUTE,within_cumulative_budget,ENTITY_SMALL|2026-06|procure_to_pay|ordinary_entity_small_001|SYNTH_ORDINARY_ENTITY_SMALL_001,50000.000000,50000.000000,573.500000,0.000000,573.500000,False,False,TXN0001,AUTO_EXECUTE,within_cumulative_budget,ENTITY_SMALL|2026-06|procure_to_pay|ordinary_entity_small_001|SYNTH_ORDINARY_ENTITY_SMALL_001,25000.000000,25000.000000,573.500000,0.000000,573.500000,False,False,TXN0001,AUTO_EXECUTE,within_cumulative_budget,ENTITY_SMALL|2026-06|procure_to_pay|ordinary_entity_small_001|SYNTH_ORDINARY_ENTITY_SMALL_001,25000.000000,25000.000000,573.500000,0.000000,573.500000,False,False
TXN0002,2,procure_to_pay,ENTITY_SMALL,ordinary_entity_small_002,invoice,SYNTH_ORDINARY_ENTITY_SMALL_002,2026-07,1110.500000,none,False,False,ORD_ENTITY_SMALL_002,ordinary_low_risk,1,AUTO_EXECUTE,TXN0002,AUTO_EXECUTE,within_fixed_threshold,,50000.000000,50000.000000,1110.500000,,,False,False,TXN0002,AUTO_EXECUTE,within_cumulative_budget,ENTITY_SMALL|2026-07|procure_to_pay|ordinary_entity_small_002|SYNTH_ORDINARY_ENTITY_SMALL_002,50000.000000,50000.000000,1110.500000,0.000000,1110.500000,False,False,TXN0002,AUTO_EXECUTE,within_cumulative_budget,ENTITY_SMALL|2026-07|procure_to_pay|ordinary_entity_small_002|SYNTH_ORDINARY_ENTITY_SMALL_002,25000.000000,25000.000000,1110.500000,0.000000,1110.500000,False,False,TXN0002,AUTO_EXECUTE,within_cumulative_budget,ENTITY_SMALL|2026-07|procure_to_pay|ordinary_entity_small_002|SYNTH_ORDINARY_ENTITY_SMALL_002,25000.000000,25000.000000,1110.500000,0.000000,1110.500000,False,False
TXN0003,3,procure_to_pay,ENTITY_SMALL,ordinary_entity_small_003,invoice,SYNTH_ORDINARY_ENTITY_SMALL_003,2026-06,1205.500000,none,True,False,ORD_ENTITY_SMALL_003,ordinary_low_risk,1,AUTO_EXECUTE,TXN0003,AUTO_EXECUTE,within_fixed_threshold,,50000.000000,50000.000000,1205.500000,,,False,False,TXN0003,AUTO_EXECUTE,within_cumulative_budget,ENTITY_SMALL|2026-06|procure_to_pay|ordinary_entity_small_003|SYNTH_ORDINARY_ENTITY_SMALL_003,50000.000000,50000.000000,1205.500000,0.000000,1205.500000,False,False,TXN0003,AUTO_EXECUTE,within_cumulative_budget,ENTITY_SMALL|2026-06|procure_to_pay|ordinary_entity_small_003|SYNTH_ORDINARY_ENTITY_SMALL_003,25000.000000,25000.000000,1205.500000,0.000000,1205.500000,False,False,TXN0003,AUTO_EXECUTE,within_cumulative_budget,ENTITY_SMALL|2026-06|procure_to_pay|ordinary_entity_small_003|SYNTH_ORDINARY_ENTITY_SMALL_003,25000.000000,25000.000000,1205.500000,0.000000,1205.500000,False,False
TXN0004,4,journal_entry_month_end_close,ENTITY_SMALL,ordinary_entity_small_004,standard_accrual,SYNTH_ORDINARY_ENTITY_SMALL_004,2026-06,1201.000000,none,True,False,ORD_ENTITY_SMALL_004,ordinary_low_risk,1,AUTO_EXECUTE,TXN0004,AUTO_EXECUTE,within_fixed_threshold,,50000.000000,50000.000000,1201.000000,,,False,False,TXN0004,AUTO_EXECUTE,within_cumulative_budget,ENTITY_SMALL|2026-06|journal_entry_month_end_close|ordinary_entity_small_004|SYNTH_ORDINARY_ENTITY_SMALL_004,50000.000000,50000.000000,1201.000000,0.000000,1201.000000,False,False,TXN0004,AUTO_EXECUTE,within_cumulative_budget,ENTITY_SMALL|2026-06|journal_entry_month_end_close|ordinary_entity_small_004|SYNTH_ORDINARY_ENTITY_SMALL_004,25000.000000,25000.000000,1201.000000,0.000000,1201.000000,False,False,TXN0004,AUTO_EXECUTE,within_cumulative_budget,ENTITY_SMALL|2026-06|journal_entry_month_end_close|ordinary_entity_small_004|SYNTH_ORDINARY_ENTITY_SMALL_004,25000.000000,25000.000000,1201.000000,0.000000,1201.000000,False,False
TXN0005,5,journal_entry_month_end_close,ENTITY_SMALL,ordinary_entity_small_005,standard_accrual,SYNTH_ORDINARY_ENTITY_SMALL_005,2026-06,600.000000,none,True,False,ORD_ENTITY_SMALL_005,ordinary_low_risk,1,AUTO_EXECUTE,TXN0005,AUTO_EXECUTE,within_fixed_threshold,,50000.000000,50000.000000,600.000000,,,False,False,TXN0005,AUTO_EXECUTE,within_cumulative_budget,ENTITY_SMALL|2026-06|journal_entry_month_end_close|ordinary_entity_small_005|SYNTH_ORDINARY_ENTITY_SMALL_005,50000.000000,50000.000000,600.000000,0.000000,600.000000,False,False,TXN0005,AUTO_EXECUTE,within_cumulative_budget,ENTITY_SMALL|2026-06|journal_entry_month_end_close|ordinary_entity_small_005|SYNTH_ORDINARY_ENTITY_SMALL_005,25000.000000,25000.000000,600.000000,0.000000,600.000000,False,False,TXN0005,AUTO_EXECUTE,within_cumulative_budget,ENTITY_SMALL|2026-06|journal_entry_month_end_close|ordinary_entity_small_005|SYNTH_ORDINARY_ENTITY_SMALL_005,25000.000000,25000.000000,600.000000,0.000000,600.000000,False,False
TXN0006,6,procure_to_pay,ENTITY_SMALL,ordinary_entity_small_006,invoice,SYNTH_ORDINARY_ENTITY_SMALL_006,2026-07,555.500000,none,True,False,ORD_ENTITY_SMALL_006,ordinary_low_risk,1,AUTO_EXECUTE,TXN0006,AUTO_EXECUTE,within_fixed_threshold,,50000.000000,50000.000000,555.500000,,,False,False,TXN0006,AUTO_EXECUTE,within_cumulative_budget,ENTITY_SMALL|2026-07|procure_to_pay|ordinary_entity_small_006|SYNTH_ORDINARY_ENTITY_SMALL_006,50000.000000,50000.000000,555.500000,0.000000,555.500000,False,False,TXN0006,AUTO_EXECUTE,within_cumulative_budget,ENTITY_SMALL|2026-07|procure_to_pay|ordinary_entity_small_006|SYNTH_ORDINARY_ENTITY_SMALL_006,25000.000000,25000.000000,555.500000,0.000000,555.500000,False,False,TXN0006,AUTO_EXECUTE,within_cumulative_budget,ENTITY_SMALL|2026-07|procure_to_pay|ordinary_entity_small_006|SYNTH_ORDINARY_ENTITY_SMALL_006,25000.000000,25000.000000,555.500000,0.000000,555.500000,False,False
TXN0007,7,journal_entry_month_end_close,ENTITY_SMALL,ordinary_entity_small_007,standard_accrual,SYNTH_ORDINARY_ENTITY_SMALL_007,2026-06,1403.000000,none,True,False,ORD_ENTITY_SMALL_007,ordinary_low_risk,1,AUTO_EXECUTE,TXN0007,AUTO_EXECUTE,within_fixed_threshold,,50000.000000,50000.000000,1403.000000,,,False,False,TXN0007,AUTO_EXECUTE,within_cumulative_budget,ENTITY_SMALL|2026-06|journal_entry_month_end_close|ordinary_entity_small_007|SYNTH_ORDINARY_ENTITY_SMALL_007,50000.000000,50000.000000,1403.000000,0.000000,1403.000000,False,False,TXN0007,AUTO_EXECUTE,within_cumulative_budget,ENTITY_SMALL|2026-06|journal_entry_month_end_close|ordinary_entity_small_007|SYNTH_ORDINARY_ENTITY_SMALL_007,25000.000000,25000.000000,1403.000000,0.000000,1403.000000,False,False,TXN0007,AUTO_EXECUTE,within_cumulative_budget,ENTITY_SMALL|2026-06|journal_entry_month_end_close|ordinary_entity_small_007|SYNTH_ORDINARY_ENTITY_SMALL_007,25000.000000,25000.000000,1403.000000,0.000000,1403.000000,False,False
TXN0008,8,journal_entry_month_end_close,ENTITY_SMALL,ordinary_entity_small_008,standard_accrual,SYNTH_ORDINARY_ENTITY_SMALL_008,2026-06,903.500000,none,True,False,ORD_ENTITY_SMALL_008,ordinary_low_risk,1,AUTO_EXECUTE,TXN0008,AUTO_EXECUTE,within_fixed_threshold,,50000.000000,50000.000000,903.500000,,,False,False,TXN0008,AUTO_EXECUTE,within_cumulative_budget,ENTITY_SMALL|2026-06|journal_entry_month_end_close|ordinary_entity_small_008|SYNTH_ORDINARY_ENTITY_SMALL_008,50000.000000,50000.000000,903.500000,0.000000,903.500000,False,False,TXN0008,AUTO_EXECUTE,within_cumulative_budget,ENTITY_SMALL|2026-06|journal_entry_month_end_close|ordinary_entity_small_008|SYNTH_ORDINARY_ENTITY_SMALL_008,25000.000000,25000.000000,903.500000,0.000000,903.500000,False,False,TXN0008,AUTO_EXECUTE,within_cumulative_budget,ENTITY_SMALL|2026-06|journal_entry_month_end_close|ordinary_entity_small_008|SYNTH_ORDINARY_ENTITY_SMALL_008,25000.000000,25000.000000,903.500000,0.000000,903.500000,False,False
TXN0009,9,journal_entry_month_end_close,ENTITY_SMALL,ordinary_entity_small_009,standard_accrual,SYNTH_ORDINARY_ENTITY_SMALL_009,2026-07,1287.500000,none,True,False,ORD_ENTITY_SMALL_009,ordinary_low_risk,1,AUTO_EXECUTE,TXN0009,AUTO_EXECUTE,within_fixed_threshold,,50000.000000,50000.000000,1287.500000,,,False,False,TXN0009,AUTO_EXECUTE,within_cumulative_budget,ENTITY_SMALL|2026-07|journal_entry_month_end_close|ordinary_entity_small_009|SYNTH_ORDINARY_ENTITY_SMALL_009,50000.000000,50000.000000,1287.500000,0.000000,1287.500000,False,False,TXN0009,AUTO_EXECUTE,within_cumulative_budget,ENTITY_SMALL|2026-07|journal_entry_month_end_close|ordinary_entity_small_009|SYNTH_ORDINARY_ENTITY_SMALL_009,25000.000000,25000.000000,1287.500000,0.000000,1287.500000,False,False,TXN0009,AUTO_EXECUTE,within_cumulative_budget,ENTITY_SMALL|2026-07|journal_entry_month_end_close|ordinary_entity_small_009|SYNTH_ORDINARY_ENTITY_SMALL_009,25000.000000,25000.000000,1287.500000,0.000000,1287.500000,False,False
TXN0010,10,procure_to_pay,ENTITY_SMALL,ordinary_entity_small_010,invoice,SYNTH_ORDINARY_ENTITY_SMALL_010,2026-06,855.500000,none,True,False,ORD_ENTITY_SMALL_010,ordinary_low_risk,1,AUTO_EXECUTE,TXN0010,AUTO_EXECUTE,within_fixed_threshold,,50000.000000,50000.000000,855.500000,,,False,False,TXN0010,AUTO_EXECUTE,within_cumulative_budget,ENTITY_SMALL|2026-06|procure_to_pay|ordinary_entity_small_010|SYNTH_ORDINARY_ENTITY_SMALL_010,50000.000000,50000.000000,855.500000,0.000000,855.500000,False,False,TXN0010,AUTO_EXECUTE,within_cumulative_budget,ENTITY_SMALL|2026-06|procure_to_pay|ordinary_entity_small_010|SYNTH_ORDINARY_ENTITY_SMALL_010,25000.000000,25000.000000,855.500000,0.000000,855.500000,False,False,TXN0010,AUTO_EXECUTE,within_cumulative_budget,ENTITY_SMALL|2026-06|procure_to_pay|ordinary_entity_small_010|SYNTH_ORDINARY_ENTITY_SMALL_010,25000.000000,25000.000000,855.500000,0.000000,855.500000,False,False
