entity,policy,transactions_n,oracle_escalations_n,consequential_failures_n,overall_failure_numerator,overall_failure_denominator,overall_failure_incidence_pct,conditional_miss_numerator,conditional_miss_denominator,conditional_miss_rate_pct,unauthorised_economic_exposure,independent_review_n,independent_review_denominator,independent_review_pct,block_n,block_denominator,block_pct,non_autonomous_intervention_n,non_autonomous_intervention_denominator,non_autonomous_intervention_pct,false_escalations_n,false_escalation_denominator,false_escalation_rate_pct,aggregation_failures_n,qualitative_override_cases_n,qualitative_correctly_escalated_n,qualitative_correctly_escalated_pct
ENTITY_SMALL,fixed,90,28,18,18,90,20.000000,18,28,64.285714,69425.000000,7,90,7.777778,3,90,3.333333,10,90,11.111111,0,62,0.000000,18,6,6,100.000000
ENTITY_SMALL,uniform_cap,90,28,18,18,90,20.000000,18,28,64.285714,69425.000000,7,90,7.777778,3,90,3.333333,10,90,11.111111,0,62,0.000000,18,6,6,100.000000
ENTITY_SMALL,mcab_no_tightening,90,28,6,6,90,6.666667,6,28,21.428571,20450.000000,19,90,21.111111,3,90,3.333333,22,90,24.444444,0,62,0.000000,6,6,6,100.000000
ENTITY_SMALL,mcab_full,90,28,2,2,90,2.222222,2,28,7.142857,7150.000000,23,90,25.555556,3,90,3.333333,26,90,28.888889,0,62,0.000000,2,6,6,100.000000
ENTITY_REFERENCE,fixed,90,28,18,18,90,20.000000,18,28,64.285714,138850.000000,7,90,7.777778,3,90,3.333333,10,90,11.111111,0,62,0.000000,18,6,6,100.000000
ENTITY_REFERENCE,uniform_cap,90,28,6,6,90,6.666667,6,28,21.428571,40900.000000,19,90,21.111111,3,90,3.333333,22,90,24.444444,0,62,0.000000,6,6,6,100.000000
ENTITY_REFERENCE,mcab_no_tightening,90,28,6,6,90,6.666667,6,28,21.428571,40900.000000,19,90,21.111111,3,90,3.333333,22,90,24.444444,0,62,0.000000,6,6,6,100.000000
ENTITY_REFERENCE,mcab_full,90,28,2,2,90,2.222222,2,28,7.142857,14300.000000,23,90,25.555556,3,90,3.333333,26,90,28.888889,0,62,0.000000,2,6,6,100.000000
ENTITY_LARGE,fixed,90,28,18,18,90,20.000000,18,28,64.285714,277700.000000,7,90,7.777778,3,90,3.333333,10,90,11.111111,0,62,0.000000,18,6,6,100.000000
ENTITY_LARGE,uniform_cap,90,28,1,1,90,1.111111,1,28,3.571429,12400.000000,29,90,32.222222,3,90,3.333333,32,90,35.555556,5,62,8.064516,1,6,6,100.000000
ENTITY_LARGE,mcab_no_tightening,90,28,10,10,90,11.111111,10,28,35.714286,349300.000000,15,90,16.666667,3,90,3.333333,18,90,20.000000,0,62,0.000000,6,6,6,100.000000
ENTITY_LARGE,mcab_full,90,28,6,6,90,6.666667,6,28,21.428571,296100.000000,19,90,21.111111,3,90,3.333333,22,90,24.444444,0,62,0.000000,2,6,6,100.000000
