analysis,condition,fixed_threshold,mcab_safety_factor,mcab_initial_budget,post_error_multiplier,post_error_condition,policy,transactions_n,oracle_escalations_n,consequential_failures_n,overall_failure_numerator,overall_failure_denominator,overall_failure_incidence_pct,conditional_miss_numerator,conditional_miss_denominator,conditional_miss_rate_pct,unauthorised_economic_exposure,independent_review_n,independent_review_denominator,independent_review_pct,block_n,block_denominator,block_pct,non_autonomous_intervention_n,non_autonomous_intervention_denominator,non_autonomous_intervention_pct,false_escalations_n,false_escalation_denominator,false_escalation_rate_pct,aggregation_failures_n,qualitative_override_cases_n,qualitative_correctly_escalated_n,qualitative_correctly_escalated_pct
primary_matched_50000,safety_0.10_multiplier_0.50,50000.000000,0.100000,50000.000000,0.500000,prospective_tightening,fixed,240,43,22,22,240,9.166667,22,43,51.162791,167900.000000,15,240,6.250000,6,240,2.500000,21,240,8.750000,0,197,0.000000,22,13,13,100.000000
primary_matched_50000,safety_0.10_multiplier_0.50,50000.000000,0.100000,50000.000000,0.500000,prospective_tightening,mcab,240,43,2,2,240,0.833333,2,43,4.651163,17100.000000,35,240,14.583333,6,240,2.500000,41,240,17.083333,0,197,0.000000,2,13,13,100.000000
mcab_only_design,safety_0.05_multiplier_0.25,50000.000000,0.050000,25000.000000,0.250000,prospective_tightening,fixed,240,43,22,22,240,9.166667,22,43,51.162791,167900.000000,15,240,6.250000,6,240,2.500000,21,240,8.750000,0,197,0.000000,22,13,13,100.000000
mcab_only_design,safety_0.05_multiplier_0.25,50000.000000,0.050000,25000.000000,0.250000,prospective_tightening,mcab,240,43,0,0,240,0.000000,0,43,0.000000,0.000000,54,240,22.500000,6,240,2.500000,60,240,25.000000,17,197,8.629442,0,13,13,100.000000
mcab_only_design,safety_0.05_multiplier_0.50,50000.000000,0.050000,25000.000000,0.500000,prospective_tightening,fixed,240,43,22,22,240,9.166667,22,43,51.162791,167900.000000,15,240,6.250000,6,240,2.500000,21,240,8.750000,0,197,0.000000,22,13,13,100.000000
mcab_only_design,safety_0.05_multiplier_0.50,50000.000000,0.050000,25000.000000,0.500000,prospective_tightening,mcab,240,43,0,0,240,0.000000,0,43,0.000000,0.000000,50,240,20.833333,6,240,2.500000,56,240,23.333333,13,197,6.598985,0,13,13,100.000000
mcab_only_design,safety_0.05_multiplier_0.75,50000.000000,0.050000,25000.000000,0.750000,prospective_tightening,fixed,240,43,22,22,240,9.166667,22,43,51.162791,167900.000000,15,240,6.250000,6,240,2.500000,21,240,8.750000,0,197,0.000000,22,13,13,100.000000
mcab_only_design,safety_0.05_multiplier_0.75,50000.000000,0.050000,25000.000000,0.750000,prospective_tightening,mcab,240,43,0,0,240,0.000000,0,43,0.000000,0.000000,46,240,19.166667,6,240,2.500000,52,240,21.666667,9,197,4.568528,0,13,13,100.000000
mcab_only_design,safety_0.05_multiplier_1.00,50000.000000,0.050000,25000.000000,1.000000,no_tightening_aggregation_only,fixed,240,43,22,22,240,9.166667,22,43,51.162791,167900.000000,15,240,6.250000,6,240,2.500000,21,240,8.750000,0,197,0.000000,22,13,13,100.000000
mcab_only_design,safety_0.05_multiplier_1.00,50000.000000,0.050000,25000.000000,1.000000,no_tightening_aggregation_only,mcab,240,43,0,0,240,0.000000,0,43,0.000000,0.000000,41,240,17.083333,6,240,2.500000,47,240,19.583333,4,197,2.030457,0,13,13,100.000000
mcab_only_design,safety_0.10_multiplier_0.25,50000.000000,0.100000,50000.000000,0.250000,prospective_tightening,fixed,240,43,22,22,240,9.166667,22,43,51.162791,167900.000000,15,240,6.250000,6,240,2.500000,21,240,8.750000,0,197,0.000000,22,13,13,100.000000
mcab_only_design,safety_0.10_multiplier_0.25,50000.000000,0.100000,50000.000000,0.250000,prospective_tightening,mcab,240,43,2,2,240,0.833333,2,43,4.651163,17100.000000,44,240,18.333333,6,240,2.500000,50,240,20.833333,9,197,4.568528,2,13,13,100.000000
mcab_only_design,safety_0.10_multiplier_0.50,50000.000000,0.100000,50000.000000,0.500000,prospective_tightening,fixed,240,43,22,22,240,9.166667,22,43,51.162791,167900.000000,15,240,6.250000,6,240,2.500000,21,240,8.750000,0,197,0.000000,22,13,13,100.000000
mcab_only_design,safety_0.10_multiplier_0.50,50000.000000,0.100000,50000.000000,0.500000,prospective_tightening,mcab,240,43,2,2,240,0.833333,2,43,4.651163,17100.000000,35,240,14.583333,6,240,2.500000,41,240,17.083333,0,197,0.000000,2,13,13,100.000000
mcab_only_design,safety_0.10_multiplier_0.75,50000.000000,0.100000,50000.000000,0.750000,prospective_tightening,fixed,240,43,22,22,240,9.166667,22,43,51.162791,167900.000000,15,240,6.250000,6,240,2.500000,21,240,8.750000,0,197,0.000000,22,13,13,100.000000
mcab_only_design,safety_0.10_multiplier_0.75,50000.000000,0.100000,50000.000000,0.750000,prospective_tightening,mcab,240,43,4,4,240,1.666667,4,43,9.302326,30300.000000,33,240,13.750000,6,240,2.500000,39,240,16.250000,0,197,0.000000,4,13,13,100.000000
mcab_only_design,safety_0.10_multiplier_1.00,50000.000000,0.100000,50000.000000,1.000000,no_tightening_aggregation_only,fixed,240,43,22,22,240,9.166667,22,43,51.162791,167900.000000,15,240,6.250000,6,240,2.500000,21,240,8.750000,0,197,0.000000,22,13,13,100.000000
mcab_only_design,safety_0.10_multiplier_1.00,50000.000000,0.100000,50000.000000,1.000000,no_tightening_aggregation_only,mcab,240,43,6,6,240,2.500000,6,43,13.953488,43700.000000,31,240,12.916667,6,240,2.500000,37,240,15.416667,0,197,0.000000,6,13,13,100.000000
mcab_only_design,safety_0.15_multiplier_0.25,50000.000000,0.150000,75000.000000,0.250000,prospective_tightening,fixed,240,43,22,22,240,9.166667,22,43,51.162791,167900.000000,15,240,6.250000,6,240,2.500000,21,240,8.750000,0,197,0.000000,22,13,13,100.000000
mcab_only_design,safety_0.15_multiplier_0.25,50000.000000,0.150000,75000.000000,0.250000,prospective_tightening,mcab,240,43,11,11,240,4.583333,11,43,25.581395,244500.000000,31,240,12.916667,6,240,2.500000,37,240,15.416667,5,197,2.538071,8,13,13,100.000000
mcab_only_design,safety_0.15_multiplier_0.50,50000.000000,0.150000,75000.000000,0.500000,prospective_tightening,fixed,240,43,22,22,240,9.166667,22,43,51.162791,167900.000000,15,240,6.250000,6,240,2.500000,21,240,8.750000,0,197,0.000000,22,13,13,100.000000
mcab_only_design,safety_0.15_multiplier_0.50,50000.000000,0.150000,75000.000000,0.500000,prospective_tightening,mcab,240,43,13,13,240,5.416667,13,43,30.232558,257700.000000,24,240,10.000000,6,240,2.500000,30,240,12.500000,0,197,0.000000,10,13,13,100.000000
mcab_only_design,safety_0.15_multiplier_0.75,50000.000000,0.150000,75000.000000,0.750000,prospective_tightening,fixed,240,43,22,22,240,9.166667,22,43,51.162791,167900.000000,15,240,6.250000,6,240,2.500000,21,240,8.750000,0,197,0.000000,22,13,13,100.000000
mcab_only_design,safety_0.15_multiplier_0.75,50000.000000,0.150000,75000.000000,0.750000,prospective_tightening,mcab,240,43,16,16,240,6.666667,16,43,37.209302,278000.000000,21,240,8.750000,6,240,2.500000,27,240,11.250000,0,197,0.000000,13,13,13,100.000000
mcab_only_design,safety_0.15_multiplier_1.00,50000.000000,0.150000,75000.000000,1.000000,no_tightening_aggregation_only,fixed,240,43,22,22,240,9.166667,22,43,51.162791,167900.000000,15,240,6.250000,6,240,2.500000,21,240,8.750000,0,197,0.000000,22,13,13,100.000000
